Ware_house_ID,product_wg_ton,num_refill_req_l3m,transport_issue_l1y,wh_breakdown_l3m
WH_100000,17115,3,1,5
WH_100001,5074,0,0,3
WH_100002,23137,1,0,6
WH_100003,22115,7,4,3
WH_100004,24071,3,1,6
WH_100005,32134,8,0,3
WH_100006,30142,8,0,3
WH_100007,24093,1,0,6
WH_100008,18082,8,1,5
WH_100009,7130,4,3,6
WH_100010,21125,7,1,4
WH_100011,14115,7,0,2
WH_100012,5124,4,0,1
WH_100013,30063,6,1,5
WH_100014,7055,8,1,3
WH_100015,5094,1,1,3
WH_100016,12127,0,0,5
WH_100017,17134,0,1,4
WH_100018,38082,4,1,5
WH_100019,27100,1,1,2
WH_100020,24062,8,0,4
WH_100021,17117,6,0,6
WH_100022,40150,5,0,6
WH_100023,32098,8,1,5
WH_100024,15125,1,0,2
WH_100025,26066,7,1,3
WH_100026,10077,5,3,6
WH_100027,14150,8,3,4
WH_100029,8056,8,0,1
WH_100030,15082,5,0,5
WH_100031,21064,4,0,6
WH_100032,45061,4,0,4
WH_100033,21116,7,0,3
WH_100034,22055,4,0,1
WH_100036,42116,5,0,5
WH_100037,19100,0,1,4
WH_100039,47071,7,0,2
WH_100040,32117,3,0,5
WH_100041,31087,1,0,5
WH_100042,20149,5,2,3
WH_100043,31139,5,0,4
WH_100044,27137,7,1,4
WH_100045,31113,7,0,3
WH_100046,20092,1,1,2
WH_100047,49083,3,0,6
WH_100048,10145,1,0,1
WH_100049,44116,3,0,5
WH_100050,8127,4,0,5
WH_100051,27128,4,0,3
WH_100052,20127,3,0,5
WH_100053,23149,6,1,4
WH_100054,23134,4,0,2
WH_100055,18150,3,0,3
WH_100056,10080,6,0,4
WH_100057,19095,2,4,3
WH_100058,32057,1,1,4
WH_100059,28127,8,0,6
WH_100060,27107,4,0,5
WH_100061,44129,2,0,2
WH_100062,13061,7,0,5
WH_100063,25145,3,1,6
WH_100064,26060,1,1,2
WH_100065,28143,5,0,3
WH_100066,44116,4,0,4
WH_100067,27069,1,0,4
WH_100068,34108,7,0,6
WH_100069,11134,6,1,3
WH_100070,22121,2,1,3
WH_100071,21076,3,5,4
WH_100072,18149,6,0,1
WH_100073,27151,2,3,5
WH_100074,17143,2,0,3
WH_100075,21130,6,0,6
WH_100076,18118,0,1,6
WH_100077,30115,3,0,2
WH_100078,10060,0,0,1
WH_100079,8102,8,2,5
WH_100080,20090,5,0,3
WH_100081,17140,2,1,5
WH_100082,22100,4,2,3
WH_100083,35130,1,0,4
WH_100084,17097,7,0,6
WH_100085,24113,8,0,1
WH_100086,39115,4,0,5
WH_100087,18123,7,0,3
WH_100088,5103,1,1,2
WH_100089,7118,7,0,5
WH_100090,18117,1,1,6
WH_100091,28094,8,1,2
WH_100092,31059,0,2,3
WH_100093,18080,5,2,4
WH_100094,16060,5,2,1
WH_100095,27150,2,0,3
WH_100096,46100,7,0,2
WH_100097,19131,0,1,6
WH_100098,7105,1,0,5
WH_100100,31133,7,0,3
WH_100101,10140,1,0,1
WH_100102,22122,2,0,4
WH_100103,18139,6,0,3
WH_100104,29073,1,1,5
WH_100105,17058,5,0,5
WH_100106,20057,5,0,5
WH_100107,14103,5,0,3
WH_100108,8070,7,0,6
WH_100109,14105,7,1,4
WH_100110,9114,6,1,2
WH_100111,5105,5,0,3
WH_100112,14114,7,3,3
WH_100113,22062,2,1,5
WH_100114,24111,7,0,5
WH_100115,28121,4,0,5
WH_100116,50124,3,0,4
WH_100118,36111,2,1,5
WH_100119,8097,2,0,2
WH_100120,16150,7,3,4
WH_100121,19088,5,0,4
WH_100122,34129,4,0,2
WH_100123,5103,4,2,2
WH_100124,26132,3,1,6
WH_100125,36131,2,1,2
WH_100126,20065,8,0,6
WH_100127,19124,8,0,5
WH_100128,24128,6,0,4
WH_100129,27085,4,0,2
WH_100130,33074,8,1,4
WH_100131,6079,7,0,1
WH_100132,30106,1,1,4
WH_100133,21064,8,0,4
WH_100134,14062,6,1,6
WH_100135,31107,8,1,4
WH_100136,21093,4,3,4
WH_100137,12055,7,0,4
WH_100138,8146,1,1,1
WH_100139,24069,7,1,1
WH_100140,19128,4,2,4
WH_100141,6090,1,0,2
WH_100142,28133,1,0,1
WH_100143,21136,3,0,5
WH_100144,12118,2,0,6
WH_100145,48139,1,0,4
WH_100146,28151,7,3,5
WH_100147,30126,3,0,4
WH_100148,27147,7,1,3
WH_100149,23135,6,0,4
WH_100150,26084,0,0,5
WH_100151,30105,0,0,2
WH_100152,26123,1,2,3
WH_100153,30145,6,0,4
WH_100154,27112,5,5,5
WH_100155,6097,1,4,3
WH_100156,27058,3,0,2
WH_100157,15110,1,0,5
WH_100158,27119,4,0,2
WH_100159,23137,1,0,3
WH_100160,34138,1,0,5
WH_100161,19103,4,1,6
WH_100162,23084,5,0,4
WH_100163,18151,4,0,2
WH_100164,29116,4,0,4
WH_100165,28064,2,0,2
WH_100166,40088,5,0,6
WH_100167,15090,3,0,1
WH_100168,32055,5,1,2
WH_100169,43066,3,0,2
WH_100170,7120,4,3,5
WH_100171,21059,8,0,6
WH_100172,8100,8,0,2
WH_100173,16116,7,1,1
WH_100174,19114,3,1,6
WH_100175,6134,3,0,3
WH_100177,6106,8,3,6
WH_100178,31076,8,0,5
WH_100179,12129,1,0,1
WH_100180,38151,0,1,4
WH_100181,15087,4,3,4
WH_100182,32056,7,0,5
WH_100183,30056,5,0,2
WH_100184,18127,0,0,4
WH_100185,18066,0,0,6
WH_100186,6111,6,2,2
WH_100187,52109,0,0,5
WH_100189,6059,1,1,1
WH_100190,8059,4,3,3
WH_100191,23122,1,0,4
WH_100193,39139,3,1,6
WH_100194,17148,0,0,1
WH_100196,14108,2,0,5
WH_100197,16066,8,1,4
WH_100198,25126,0,0,6
WH_100199,12129,6,1,4
WH_100200,8144,5,1,4
WH_100201,29116,5,4,6
WH_100202,16130,8,0,1
WH_100203,7113,6,1,2
WH_100204,51147,2,0,2
WH_100205,22142,5,0,4
WH_100206,15069,5,0,2
WH_100207,43072,5,0,4
WH_100208,5130,1,0,3
WH_100209,28146,0,0,4
WH_100210,23089,1,1,3
WH_100211,4146,8,0,3
WH_100212,17090,7,0,3
WH_100213,7071,5,4,1
WH_100214,27111,3,1,4
WH_100215,5102,5,3,3
WH_100216,7099,7,0,2
WH_100217,22128,4,0,4
WH_100218,26098,3,2,3
WH_100219,31063,4,0,4
WH_100220,37072,7,0,2
WH_100221,16141,5,0,4
WH_100223,32120,1,0,4
WH_100224,24098,1,1,6
WH_100225,35063,3,0,6
WH_100226,39095,2,0,5
WH_100227,7073,5,0,1
WH_100228,17060,5,2,6
WH_100229,5126,2,5,2
WH_100230,20082,7,5,5
WH_100231,47079,8,0,6
WH_100232,28112,5,0,5
WH_100233,6136,0,3,4
WH_100234,22093,8,2,6
WH_100235,28150,4,3,5
WH_100236,34147,8,0,6
WH_100237,32114,4,0,3
WH_100238,17065,2,1,3
WH_100239,37147,0,1,2
WH_100240,8091,4,0,1
WH_100241,18122,5,3,4
WH_100242,37074,5,0,6
WH_100243,18062,7,4,4
WH_100244,5078,6,0,3
WH_100245,22071,2,0,3
WH_100246,33082,8,1,3
WH_100247,18147,3,0,4
WH_100248,25093,8,0,5
WH_100249,11131,4,0,3
WH_100250,7068,8,0,1
WH_100251,49091,2,0,5
WH_100252,33100,0,2,4
WH_100253,11068,1,0,5
WH_100254,43081,2,0,3
WH_100255,29073,2,1,5
WH_100256,17095,5,0,3
WH_100257,46121,1,0,4
WH_100258,9096,0,0,1
WH_100259,13085,5,2,4
WH_100260,16066,6,2,3
WH_100261,18079,7,1,4
WH_100262,27104,0,2,3
WH_100263,18122,7,0,4
WH_100265,20076,5,0,6
WH_100267,27105,6,4,4
WH_100268,27121,5,0,3
WH_100269,27109,2,4,3
WH_100270,32059,4,4,4
WH_100271,6151,1,0,1
WH_100272,16089,2,0,4
WH_100273,19079,0,5,2
WH_100274,6087,6,4,3
WH_100275,24097,3,2,3
WH_100276,15142,6,0,3
WH_100277,35118,7,0,2
WH_100278,8126,7,0,3
WH_100279,30073,0,0,2
WH_100280,7083,4,0,4
WH_100282,18070,2,1,5
WH_100283,5059,8,0,1
WH_100284,16108,1,0,4
WH_100285,23087,4,0,4
WH_100286,25078,2,0,2
WH_100287,34126,8,0,3
WH_100288,32123,5,0,4
WH_100289,51140,3,0,6
WH_100290,30091,2,0,6
WH_100291,27108,6,0,4
WH_100292,22081,8,3,6
WH_100293,10083,1,0,2
WH_100294,23070,0,0,3
WH_100295,38114,4,0,5
WH_100296,47145,5,0,5
WH_100297,22118,1,1,5
WH_100298,8128,0,0,1
WH_100299,7095,5,0,2
WH_100300,32059,4,1,3
WH_100301,10134,4,0,1
WH_100302,15104,5,1,2
WH_100303,30135,3,0,2
WH_100304,28086,4,0,3
WH_100305,7138,4,0,2
WH_100306,22087,5,3,4
WH_100307,30120,3,0,5
WH_100308,7067,3,0,2
WH_100309,21131,1,0,6
WH_100310,19066,7,0,4
WH_100311,27091,4,0,2
WH_100312,20123,8,5,2
WH_100313,9131,0,0,3
WH_100314,7132,1,5,3
WH_100315,34120,7,0,3
WH_100316,23095,7,0,2
WH_100317,26065,0,0,2
WH_100318,22124,0,0,1
WH_100319,30102,2,2,6
WH_100320,19061,7,2,2
WH_100321,15108,7,1,3
WH_100322,5086,2,2,1
WH_100323,22110,0,0,2
WH_100324,18083,8,2,5
WH_100325,29057,4,3,4
WH_100326,10135,4,1,2
WH_100327,9103,4,4,2
WH_100328,13091,7,2,6
WH_100329,4090,8,0,3
WH_100330,31134,6,2,4
WH_100331,33137,6,2,3
WH_100332,9125,8,1,1
WH_100333,15130,2,3,2
WH_100334,5095,5,1,2
WH_100335,26140,4,4,4
WH_100336,43087,4,0,4
WH_100337,7104,0,5,3
WH_100338,13057,3,0,1
WH_100339,9117,5,2,3
WH_100340,28115,6,0,5
WH_100341,7059,8,0,1
WH_100342,11080,5,0,1
WH_100343,5062,3,0,3
WH_100344,32133,4,0,2
WH_100345,12068,0,3,4
WH_100346,29131,7,0,3
WH_100347,13129,0,3,2
WH_100348,21081,3,0,3
WH_100349,21060,0,0,3
WH_100351,7099,4,2,3
WH_100352,32137,3,0,4
WH_100353,5140,7,0,6
WH_100354,5070,8,3,1
WH_100355,39079,5,0,3
WH_100356,10103,2,0,5
WH_100357,31074,6,4,6
WH_100358,11102,4,3,3
WH_100359,10139,8,5,2
WH_100360,22072,5,4,6
WH_100361,23134,2,1,2
WH_100362,15125,0,0,2
WH_100363,24151,7,1,5
WH_100364,44059,1,0,3
WH_100365,5102,3,2,4
WH_100366,33095,4,2,2
WH_100367,45068,8,0,3
WH_100368,42138,3,0,5
WH_100369,43120,5,0,6
WH_100370,30065,8,0,1
WH_100371,5093,2,1,2
WH_100372,7109,4,0,1
WH_100373,31083,4,0,5
WH_100374,24085,7,0,2
WH_100375,29116,3,4,6
WH_100376,17136,0,2,6
WH_100377,15107,3,0,5
WH_100378,16080,7,0,2
WH_100379,16061,1,0,2
WH_100380,28082,1,0,6
WH_100381,23102,8,0,3
WH_100382,30149,6,0,3
WH_100383,23144,8,1,2
WH_100384,32067,8,0,4
WH_100385,23073,1,0,2
WH_100386,23151,8,3,3
WH_100387,15102,6,2,5
WH_100388,21118,6,1,5
WH_100389,17093,6,0,1
WH_100391,24082,0,0,2
WH_100393,4055,8,3,6
WH_100394,19085,1,3,6
WH_100395,11118,6,0,3
WH_100396,12133,8,0,5
WH_100397,38059,4,0,4
WH_100398,22141,1,1,6
WH_100399,32118,0,0,4
WH_100400,6121,4,0,1
WH_100401,35074,7,0,3
WH_100402,31068,6,0,4
WH_100403,30099,1,0,4
WH_100404,31086,5,0,4
WH_100405,12105,1,3,6
WH_100406,11130,7,0,5
WH_100407,47115,6,0,3
WH_100408,18108,6,2,4
WH_100409,7133,5,3,4
WH_100410,23070,8,0,4
WH_100411,23095,7,0,2
WH_100412,26139,7,0,5
WH_100413,7074,8,3,5
WH_100414,5105,2,3,1
WH_100415,30131,8,2,5
WH_100416,12109,2,3,3
WH_100417,35135,3,4,6
WH_100418,45145,0,0,4
WH_100419,8073,5,0,3
WH_100420,36130,1,0,3
WH_100422,34121,1,0,6
WH_100423,22087,4,0,3
WH_100424,38147,0,0,2
WH_100425,25099,0,0,3
WH_100426,5099,8,0,1
WH_100427,16067,5,0,3
WH_100428,28086,0,0,2
WH_100429,20127,6,0,5
WH_100430,21144,3,0,4
WH_100431,11074,2,5,1
WH_100432,40123,5,0,3
WH_100433,15126,5,1,6
WH_100434,18099,5,0,3
WH_100435,22144,1,3,3
WH_100436,24072,3,0,2
WH_100437,15072,5,1,2
WH_100438,38134,6,0,5
WH_100439,25075,5,4,4
WH_100440,12078,6,1,3
WH_100441,5057,5,0,3
WH_100442,30097,4,0,4
WH_100443,20057,4,0,6
WH_100444,16084,6,3,3
WH_100445,43121,0,0,3
WH_100446,6139,1,2,3
WH_100447,48133,5,0,4
WH_100448,5145,8,2,3
WH_100449,24057,3,0,1
WH_100450,32063,8,2,3
WH_100451,24102,6,0,1
WH_100452,6084,7,1,3
WH_100454,20090,3,2,2
WH_100455,9097,4,0,3
WH_100456,25109,6,1,2
WH_100457,13137,4,0,4
WH_100458,6148,3,2,3
WH_100459,26062,4,0,1
WH_100460,22078,5,1,3
WH_100461,7104,6,0,2
WH_100462,31070,4,0,6
WH_100463,41083,0,0,2
WH_100464,23065,0,0,6
WH_100465,24098,0,0,3
WH_100466,33110,2,2,6
WH_100467,38064,3,0,5
WH_100468,38056,8,0,4
WH_100469,24108,2,0,5
WH_100470,5079,5,0,3
WH_100471,22108,5,1,3
WH_100472,29105,2,0,5
WH_100473,8060,6,0,1
WH_100474,40121,2,0,5
WH_100476,37145,0,0,2
WH_100477,6124,3,0,3
WH_100478,25065,1,0,5
WH_100479,24099,4,0,3
WH_100480,5089,5,1,3
WH_100481,26122,0,2,5
WH_100482,25108,3,0,2
WH_100483,43143,1,2,3
WH_100484,21096,1,1,6
WH_100485,22144,0,0,3
WH_100486,33125,1,3,2
WH_100487,12107,4,0,3
WH_100488,26084,2,0,2
WH_100489,42093,7,0,3
WH_100490,19087,6,3,5
WH_100491,31086,5,0,5
WH_100492,38142,3,1,5
WH_100493,14111,5,0,3
WH_100494,46070,1,0,4
WH_100495,14134,6,2,3
WH_100496,6098,4,0,1
WH_100497,5110,1,2,2
WH_100498,30107,1,0,5
WH_100499,25085,2,3,4
WH_100500,6093,4,0,1
WH_100501,11109,5,1,5
WH_100502,18112,5,0,3
WH_100503,38083,4,1,2
WH_100504,26107,4,0,2
WH_100505,10112,5,0,1
WH_100506,6147,8,0,3
WH_100507,27095,7,3,5
WH_100508,18108,3,0,2
WH_100509,29108,0,0,4
WH_100510,5099,1,0,1
WH_100512,17142,7,1,2
WH_100513,34108,0,1,4
WH_100514,31060,7,0,5
WH_100515,7129,6,1,4
WH_100516,23083,4,0,3
WH_100517,28065,1,2,4
WH_100518,40109,5,1,5
WH_100519,34149,3,0,4
WH_100520,19099,3,0,5
WH_100521,27113,6,1,4
WH_100522,27092,5,0,5
WH_100523,32116,3,0,5
WH_100524,16078,3,2,2
WH_100525,24100,8,0,5
WH_100526,13140,6,0,5
WH_100527,9150,5,0,3
WH_100528,27146,0,1,5
WH_100529,22131,8,5,4
WH_100530,12074,6,2,4
WH_100531,5120,0,3,6
WH_100532,13105,3,3,5
WH_100533,5107,8,3,2
WH_100534,7089,2,2,2
WH_100535,15108,1,1,3
WH_100536,20081,8,0,3
WH_100537,29085,7,0,4
WH_100538,34070,6,0,5
WH_100539,7118,5,0,3
WH_100540,22098,8,2,6
WH_100541,42124,4,1,4
WH_100542,13075,2,0,4
WH_100543,11149,5,0,1
WH_100544,29102,8,0,2
WH_100545,23148,1,2,3
WH_100546,24111,8,5,5
WH_100547,7110,0,0,3
WH_100548,22134,3,0,3
WH_100549,31123,5,1,4
WH_100550,31065,3,3,4
WH_100551,28120,5,4,4
WH_100552,18066,8,0,4
WH_100553,15137,1,0,2
WH_100554,6073,2,0,1
WH_100555,5136,2,0,1
WH_100556,19132,3,3,4
WH_100557,33106,8,1,3
WH_100558,34055,2,1,5
WH_100559,19139,3,3,3
WH_100560,16067,1,1,6
WH_100561,31056,4,0,5
WH_100562,21113,8,0,1
WH_100563,16108,1,3,4
WH_100564,5083,1,0,1
WH_100565,12115,2,0,1
WH_100566,5128,2,2,3
WH_100567,11108,3,4,2
WH_100568,21128,6,0,4
WH_100569,18069,4,1,3
WH_100570,27128,8,0,2
WH_100571,7076,1,0,1
WH_100572,22104,1,0,4
WH_100573,14075,5,2,6
WH_100574,18124,6,4,5
WH_100575,40106,0,0,4
WH_100576,46099,5,0,2
WH_100577,25060,3,0,5
WH_100578,16080,0,2,6
WH_100579,13057,5,0,2
WH_100580,24128,8,0,5
WH_100581,17129,5,4,5
WH_100583,27057,1,0,6
WH_100584,23146,1,0,1
WH_100585,45059,2,0,4
WH_100586,24107,4,0,4
WH_100587,29101,6,0,2
WH_100588,16127,5,5,3
WH_100589,21126,7,1,6
WH_100590,11084,6,3,5
WH_100591,35071,5,1,6
WH_100592,38069,6,0,6
WH_100593,32105,6,0,5
WH_100594,15057,2,3,5
WH_100595,17139,4,0,3
WH_100596,15141,5,0,2
WH_100597,11122,4,0,4
WH_100598,29129,8,0,5
WH_100599,46142,6,0,3
WH_100600,20143,2,1,2
WH_100601,20135,8,0,4
WH_100603,28087,0,0,6
WH_100604,38061,0,0,5
WH_100605,20138,4,0,5
WH_100606,18124,0,2,6
WH_100607,16115,6,0,1
WH_100608,16093,5,0,3
WH_100609,6114,2,2,3
WH_100610,49058,5,0,2
WH_100611,17094,7,3,4
WH_100612,17084,4,0,6
WH_100613,40055,5,0,5
WH_100614,42107,4,1,5
WH_100615,9099,3,0,2
WH_100616,23150,2,2,5
WH_100617,21113,6,0,4
WH_100618,17150,7,1,2
WH_100619,14133,7,3,3
WH_100620,9079,0,0,3
WH_100621,17079,4,0,1
WH_100623,52141,1,0,4
WH_100624,13072,3,0,4
WH_100625,25148,0,0,3
