,segment 0,segment 1,segment 2,segment 3,segment 4,rated network,whole network
electric_supply = 1,65.85903083700441,65.7225156024964,64.63414634146342,65.99157485418017,65.94799425062067,65.6815540428358,65.688
temp_reg_mach = 1,1.3215859030837005,30.0048007681229,34.04678944748631,17.806221646143875,42.17953743629949,31.421218661796445,30.328
flood_proof = 1,6.057268722466961,5.744919187069931,5.375808860129418,5.4439403758911205,5.226708480334509,5.441640378548896,5.464
flood_impacted = 1,9.47136563876652,10.225636101776283,9.532105525136885,9.89954633830201,9.60407683261466,9.828988875975428,9.815999999999999
approved_wh_govt_certificate = C,0.0,29.36469835173628,23.394723743155797,20.15554115359689,19.364954919639356,22.83330566163042,22.004
approved_wh_govt_certificate = B,0.0,21.539446311409826,20.084619213539074,19.03758911211925,19.39108846204103,19.973435165200065,19.248
approved_wh_govt_certificate = B+,0.0,21.539446311409826,21.17969138875062,19.71808165910564,19.63935711485692,20.40926448613648,19.668
approved_wh_govt_certificate = A,0.0,16.898703792606817,19.11398705823793,20.738820479585225,20.475630471710442,19.388178648514028,18.684
approved_wh_govt_certificate = A+,0.0,10.657705232837253,16.226978596316574,20.349967595593,21.128969031752256,17.395816038519012,16.764000000000003
approved_wh_govt_certificate = Unrated,100.0,0.0,0.0,0.0,0.0,0.0,3.6319999999999997
Location_type = Rural,100.0,93.90302448391743,91.0154305624689,90.71613739468567,90.48739056579119,91.5200066412087,91.828
Location_type = Urban,0.0,6.096975516082574,8.98456943753111,9.283862605314324,9.512609434208807,8.479993358791301,8.172
WH_capacity_size = Small,21.58590308370044,18.594975196031367,19.686411149825783,19.39403758911212,19.142819809225138,19.15573634401461,19.244
WH_capacity_size = Mid,39.97797356828194,39.63834213474156,39.87058237929318,39.970836033700586,40.65072520580165,40.08384525983729,40.08
WH_capacity_size = Large,38.43612334801762,41.76668266922708,40.44300647088104,40.6351263771873,40.20645498497321,40.760418396148104,40.676
WH_regional_zone = Zone 1,9.251101321585903,8.129300688110098,8.437033349925336,8.392741412832146,7.905396576505945,8.176988211854558,8.216
WH_regional_zone = Zone 2,12.555066079295155,11.809889582333174,11.050273768043803,12.200259235255995,11.943028877564355,11.825502241407937,11.852
WH_regional_zone = Zone 3,10.90308370044053,11.409825572091535,11.398705823792932,11.438755670771226,11.825427936756828,11.547401627096132,11.524
WH_regional_zone = Zone 4,16.519823788546255,16.41862698031685,17.421602787456447,16.33182112767336,16.882268391480466,16.710941391333222,16.704
WH_regional_zone = Zone 5,17.841409691629956,18.771003360537687,18.267794922847187,18.373298768632534,18.084411341957402,18.367092810891585,18.348
WH_regional_zone = Zone 6,32.929515418502206,33.461353816610654,33.424589347934294,33.26312378483473,33.359466875735,33.37207371741657,33.356
zone = East,0.881057268722467,1.5362457993278924,1.841712294673967,1.911860012961763,1.7378805697112243,1.7474680391831314,1.7160000000000002
zone = North,42.841409691629956,41.15858537365978,40.890990542558484,41.72067401166559,40.493923951391615,41.04682052133488,41.112
zone = South,26.982378854625548,25.90814530324852,25.435540069686414,25.388852883992225,24.944466222396446,25.390171011124025,25.447999999999997
zone = West,29.295154185022028,31.3970235237638,31.831757093081137,30.97861309138043,32.82372925650072,31.815540428357963,31.724000000000004
wh_owner_type = Company Owned,54.845814977973575,55.304848775804125,53.509208561473365,54.71484121840571,53.53456160982621,54.29188112236427,54.312000000000005
wh_owner_type = Rented,45.15418502202643,44.695151224195875,46.49079143852663,45.2851587815943,46.46543839017379,45.70811887763573,45.688
