,segment 0,segment 1,segment 2,segment 3,segment 4,rated network,whole network
warehouses,908.0,6249.0,4018.0,6172.0,7653.0,24092.0,25000.0
% of network,3.632,24.996,16.072,24.688,30.612,96.368,100.0
mean product_wg_ton,5430.472466960352,12648.418787005921,18093.355649576904,28354.167206740116,28863.70861100222,22730.987630748798,22102.63292
median product_wg_ton,5090.0,11089.0,18099.5,28105.0,29071.0,23066.0,22101.0
mean num_refill_req_l3m,3.9812775330396475,4.14642342774844,4.342956694873071,1.3379779650032404,6.140337122696981,4.093101444462892,4.08904
median num_refill_req_l3m,4.0,4.0,4.0,1.0,6.0,4.0,4.0
mean storage_issue_reported_l3m,0.0,9.880460873739798,14.556993529118964,22.14549578742709,22.38938978178492,17.776066744147435,17.13044
median storage_issue_reported_l3m,0.0,9.0,15.0,22.0,23.0,18.0,18.0
mean transport_issue_l1y,0.6211453744493393,0.35669707153144503,3.0689397710303634,0.3313350615683733,0.2839409381941722,0.7794288560518015,0.77368
median transport_issue_l1y,0.0,0.0,3.0,0.0,0.0,0.0,0.0
mean wh_breakdown_l3m,0.0,2.0721715474475917,3.6652563464410153,4.250324044069994,4.330589311381158,3.6132741158890918,3.48204
median wh_breakdown_l3m,0.0,2.0,4.0,4.0,4.0,3.0,3.0
"problems per 1,000 t",0.028595365238865602,0.17087873604808726,0.24497895111580675,0.1528226090319466,0.15249511437528565,0.1675303947088812,0.16629059593502946
"storage issues per 1,000 t",0.0,0.7811617436236595,0.8045491290312069,0.781031430969443,0.7756934524086267,0.7820191112198437,0.775040695920855
tons per worker,187.22212097049777,434.732219368252,629.8220795647503,978.1507006276864,1001.2236293422293,785.9555352078717,764.1486503492539
