Ware_house_ID,kmeans_segment,ward_segment
WH_100011,1,1
WH_100023,4,4
WH_100027,2,2
WH_100031,4,3
WH_100036,4,4
WH_100039,4,4
WH_100040,3,3
WH_100054,1,4
WH_100061,3,1
WH_100065,4,4
WH_100068,4,4
WH_100071,2,2
WH_100075,4,3
WH_100092,3,2
WH_100093,2,1
WH_100097,3,3
WH_100103,1,4
WH_100104,3,3
WH_100105,4,3
WH_100106,4,3
WH_100110,1,1
WH_100111,1,1
WH_100115,4,3
WH_100119,1,1
WH_100122,4,4
WH_100127,4,3
WH_100130,4,4
WH_100131,1,1
WH_100132,3,1
WH_100145,3,1
WH_100154,2,2
WH_100158,1,4
WH_100159,3,1
WH_100169,3,1
WH_100171,4,3
WH_100172,1,1
WH_100182,4,4
WH_100185,3,3
WH_100190,2,2
WH_100193,3,3
WH_100200,1,3
WH_100204,3,1
WH_100213,2,1
WH_100214,3,1
WH_100217,4,1
WH_100220,4,4
WH_100233,2,2
WH_100237,4,4
WH_100245,3,1
WH_100251,3,3
WH_100253,3,3
WH_100256,1,4
WH_100289,3,4
WH_100292,2,2
WH_100293,1,1
WH_100294,3,1
WH_100299,1,1
WH_100300,4,4
WH_100315,4,4
WH_100332,1,1
WH_100337,2,2
WH_100342,1,1
WH_100343,1,1
WH_100344,4,4
WH_100352,3,4
WH_100370,4,4
WH_100374,1,4
WH_100379,1,1
WH_100382,4,4
WH_100385,3,1
WH_100386,2,2
WH_100387,2,2
WH_100416,2,2
WH_100417,2,2
WH_100424,3,1
WH_100438,4,4
WH_100442,4,4
WH_100445,3,1
WH_100446,2,1
WH_100451,1,1
WH_100455,1,1
WH_100458,2,1
WH_100463,3,1
WH_100469,3,3
WH_100477,1,1
WH_100479,1,4
WH_100482,1,4
WH_100484,3,3
WH_100489,4,4
WH_100501,4,3
WH_100509,3,3
WH_100516,1,4
WH_100518,4,4
WH_100519,3,4
WH_100522,4,3
WH_100524,1,2
WH_100529,2,2
WH_100532,2,2
WH_100533,2,1
WH_100534,1,2
WH_100536,4,4
WH_100537,4,4
WH_100538,4,3
WH_100544,4,4
WH_100548,1,1
WH_100562,1,1
WH_100563,2,2
WH_100577,3,3
WH_100580,4,3
WH_100588,2,2
WH_100589,4,2
WH_100590,2,2
WH_100594,2,2
WH_100597,1,3
WH_100598,4,4
WH_100605,4,3
WH_100609,2,1
WH_100611,2,2
WH_100615,1,1
WH_100643,1,4
WH_100644,2,2
WH_100658,3,1
WH_100663,4,4
WH_100668,4,3
WH_100677,2,2
