Ware_house_ID,split,breakdown_risk,product_wg_ton,storage_issue_reported_l3m,num_refill_req_l3m,govt_check_l3m,transport_issue_l1y,wh_est_year,workers_num,dist_from_hub,Competitor_in_mkt,retail_shop_num,distributor_num,electric_supply,temp_reg_mach,flood_proof,flood_impacted,is_unrated_warehouse,wh_est_year_missing,certificate_grade,capacity_size,Location_type_Urban,wh_owner_type_Rented,zone_East,zone_South,zone_West,WH_regional_zone_Zone_1,WH_regional_zone_Zone_2,WH_regional_zone_Zone_3,WH_regional_zone_Zone_4,WH_regional_zone_Zone_5
WH_100000,train,High Risk,17115,13,3,15,1,2009,29,91,2,4651,24,1,0,1,0,0,1,4,1,1,1,0,0,1,0,0,0,0,0
WH_100001,train,Not High Risk,5074,4,0,17,0,2009,31,210,4,6217,47,1,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,1
WH_100002,test,High Risk,23137,17,1,22,0,2009,37,161,4,4306,64,0,0,0,0,0,1,4,2,0,0,0,1,0,0,1,0,0,0
WH_100003,train,Not High Risk,22115,17,7,27,4,2009,21,103,2,6000,50,0,1,0,0,0,1,5,2,0,1,0,0,0,0,0,1,0,0
WH_100004,train,High Risk,24071,18,3,24,1,2009,25,112,2,4740,42,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1
WH_100005,train,Not High Risk,32134,23,8,3,0,2009,35,152,2,5053,37,1,1,0,0,0,0,5,1,0,1,0,0,1,1,0,0,0,0
WH_100006,train,Not High Risk,30142,24,8,6,0,2010,27,77,4,4449,38,1,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0
WH_100007,train,High Risk,24093,18,1,24,0,2009,23,241,4,7183,45,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,1
WH_100008,test,High Risk,18082,13,8,2,1,2013,22,124,4,5381,42,1,1,0,0,0,0,5,1,0,1,0,1,0,0,0,0,0,0
WH_100009,test,High Risk,7130,6,4,2,3,2009,43,78,3,3869,35,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
WH_100010,train,High Risk,21125,17,7,6,1,1999,37,150,3,4623,31,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
WH_100011,train,Not High Risk,14115,11,7,28,0,2017,16,225,5,4627,40,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0
WH_100012,test,Not High Risk,5124,4,4,1,0,2022,28,95,3,5012,48,0,0,0,0,0,0,3,2,1,1,0,0,0,0,1,0,0,0
WH_100013,train,High Risk,30063,22,6,11,1,2008,36,242,2,6858,26,1,1,0,0,0,0,4,2,0,0,0,1,0,0,0,0,1,0
WH_100014,train,Not High Risk,7055,6,8,9,1,2009,37,129,4,5022,68,1,0,0,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0
WH_100015,train,Not High Risk,5094,4,1,12,1,2009,19,190,3,5062,50,1,0,0,0,0,1,3,2,0,0,0,0,0,0,1,0,0,0
WH_100016,train,High Risk,12127,9,0,11,0,2009,28,231,2,5569,16,1,0,0,1,0,1,3,2,0,0,0,0,1,0,0,0,1,0
