feature,source_column,role,encoding,scale_for_lr_svm,characteristics_only_set
product_wg_ton,product_wg_ton,period measure,"numeric, as recorded",True,False
storage_issue_reported_l3m,storage_issue_reported_l3m,period measure,"numeric, as recorded",True,False
num_refill_req_l3m,num_refill_req_l3m,period measure,"numeric, as recorded",True,False
govt_check_l3m,govt_check_l3m,period measure,"numeric, as recorded",True,False
transport_issue_l1y,transport_issue_l1y,period measure,"numeric, as recorded",True,False
wh_est_year,wh_est_year,characteristic,"numeric, as recorded",True,True
workers_num,workers_num,characteristic,"numeric, as recorded",True,True
dist_from_hub,dist_from_hub,characteristic,"numeric, as recorded",True,True
Competitor_in_mkt,Competitor_in_mkt,characteristic,"numeric, as recorded",True,True
retail_shop_num,retail_shop_num,characteristic,"numeric, as recorded",True,True
distributor_num,distributor_num,characteristic,"numeric, as recorded",True,True
electric_supply,electric_supply,characteristic,0/1,False,True
temp_reg_mach,temp_reg_mach,characteristic,0/1,False,True
flood_proof,flood_proof,characteristic,0/1,False,True
flood_impacted,flood_impacted,characteristic,0/1,False,True
is_unrated_warehouse,is_unrated_warehouse,characteristic,0/1,False,True
wh_est_year_missing,wh_est_year_missing,recording flag,0/1,False,True
certificate_grade,approved_wh_govt_certificate,characteristic,ordinal,True,True
capacity_size,WH_capacity_size,characteristic,ordinal,True,True
Location_type_Urban,Location_type,characteristic,one-hot,False,True
wh_owner_type_Rented,wh_owner_type,characteristic,one-hot,False,True
zone_East,zone,characteristic,one-hot,False,True
zone_South,zone,characteristic,one-hot,False,True
zone_West,zone,characteristic,one-hot,False,True
WH_regional_zone_Zone_1,WH_regional_zone,characteristic,one-hot,False,True
WH_regional_zone_Zone_2,WH_regional_zone,characteristic,one-hot,False,True
WH_regional_zone_Zone_3,WH_regional_zone,characteristic,one-hot,False,True
WH_regional_zone_Zone_4,WH_regional_zone,characteristic,one-hot,False,True
WH_regional_zone_Zone_5,WH_regional_zone,characteristic,one-hot,False,True
