feature,group,values_used,mi_pct,shuffled_max_pct,times_shuffled_max,information_alone
storage_issue_reported_l3m,period measure,20,10.176276253072269,0.1224225243169426,83.1242151707856,True
product_wg_ton,period measure,20,9.44395310825017,0.11615875664904869,81.30211945004933,True
tons_per_worker,derived candidate,20,8.483279269904964,0.1204891012069344,70.4070259046528,True
warehouse_age,derived candidate,11,7.184045387287129,0.06180066801320526,116.24543258581083,True
wh_est_year,characteristic,11,6.736733645494823,0.057801809908546394,116.54883568790726,True
storage_issues_per_1000t,derived candidate,20,4.167678309733438,0.098865299351358,42.155117488916915,True
certificate_grade,characteristic,6,4.070785473497839,0.03712629856419101,109.64695191629434,True
is_unrated_warehouse,characteristic,2,3.5289709110146936,0.018950569004909386,186.2197863346725,True
distributor_num,characteristic,20,0.10262037332643496,0.10395421983363796,0.9871689046453563,False
retail_shop_num,characteristic,20,0.08780562247923651,0.12526302487462015,0.7009699994641199,False
shops_per_distributor,derived candidate,20,0.08688682128300276,0.11685523753258631,0.7435423787382527,False
workers_num,characteristic,19,0.08246551698296907,0.12725313572007452,0.6480431033493183,False
govt_check_l3m,period measure,18,0.07937167349934345,0.1284835512984393,0.6177574693197913,False
dist_from_hub,characteristic,20,0.07387199665849438,0.10169639782749383,0.7263973772581641,False
temp_reg_mach,characteristic,2,0.06236014241817118,0.013796755017730143,4.519913728846563,True
num_refill_req_l3m,period measure,9,0.05999481111406358,0.040589789631251795,1.4780764241229531,True
Location_type_Urban,characteristic,2,0.05924962897324085,0.02778842104330889,2.1321696861041133,True
transport_issue_l1y,period measure,6,0.04894664599779041,0.04272858558435711,1.1455246020525829,True
wh_owner_type_Rented,characteristic,2,0.02204377392940878,0.02863158521666942,0.7699110532159711,False
Competitor_in_mkt,characteristic,11,0.017567754447809635,0.06669128457549035,0.2634190443269096,False
electric_supply,characteristic,2,0.013587118530675122,0.008394195356420308,1.6186326328804108,True
WH_regional_zone_Zone_3,characteristic,2,0.011854509886835552,0.01725778481107754,0.686907967425014,False
flood_proof,characteristic,2,0.009024449243813138,0.020643610120135585,0.4371546057736662,False
capacity_size,characteristic,3,0.006417649172813947,0.04516350350024667,0.1420981251549472,False
zone_West,characteristic,2,0.006360245797561045,0.009965384690820391,0.6382338459467382,False
flood_impacted,characteristic,2,0.0038164966214490194,0.01265234073284321,0.3016435220988064,False
flood_unprotected,derived candidate,2,0.0032153524586891217,0.010964938968952884,0.29323943049691026,False
WH_regional_zone_Zone_1,characteristic,2,0.0027012474734029257,0.014336164917632918,0.18842190285356566,False
WH_regional_zone_Zone_2,characteristic,2,0.0009230036698444141,0.02138126411988062,0.043168807263654324,False
WH_regional_zone_Zone_4,characteristic,2,0.0009227663134805261,0.021268132427943103,0.04338727514542608,False
WH_regional_zone_Zone_5,characteristic,2,0.0005480763953744786,0.031421505989024,0.017442715685426723,False
zone_East,characteristic,2,4.772817368085817e-05,0.026419088343422374,0.001806579131741356,False
wh_est_year_missing,recording flag,2,1.5504197060101695e-05,0.017510383793135357,0.0008854287400702117,False
zone_South,characteristic,2,1.4411805045640414e-06,0.019517398065561183,7.384081114311193e-05,False
