change,model,macro_f1_before,macro_f1_after,difference,standard_error,bar,folds_better,verdict
remove product_wg_ton,logistic regression,0.6114321152781244,0.6097414842624762,-0.0016906310156480763,0.000488267143653418,0.005,6,no meaningful change
remove product_wg_ton,random forest,0.6147655294627331,0.613494026734045,-0.0012715027286880653,0.0009579684443203909,0.005,9,no meaningful change
remove storage_issue_reported_l3m,logistic regression,0.6114321152781244,0.6093612308479218,-0.0020708844302025574,0.0005854949679031723,0.005,5,no meaningful change
remove storage_issue_reported_l3m,random forest,0.6147655294627331,0.6147001342971463,-6.539516558684344e-05,0.0009949802759458629,0.005,14,no meaningful change
remove the 18 features,logistic regression,0.6097414842624762,0.6112242819543553,0.0014827976918790364,0.0006435314265420043,0.005,17,no meaningful change
remove the 18 features,random forest,0.613494026734045,0.591251459637355,-0.022242567096690063,0.0016601332896950844,0.005,0,worse
shuffle the 18 features,logistic regression,0.6097414842624762,0.6112737806790348,0.0015322964165585162,0.0006136663913426199,0.005,18,no meaningful change
shuffle the 18 features,random forest,0.613494026734045,0.6132746568230224,-0.00021936991102265325,0.0010520027675017325,0.005,12,no meaningful change
add storage_issues_per_1000t,logistic regression,0.6097414842624762,0.6111680035558547,0.0014265192933783943,0.0005342389628913791,0.005,18,no meaningful change
add storage_issues_per_1000t,random forest,0.613494026734045,0.6129391947739986,-0.0005548319600463714,0.0009350890483729689,0.005,12,no meaningful change
add shops_per_distributor,logistic regression,0.6097414842624762,0.6100466945676095,0.00030521030513322775,0.0003860238028857492,0.005,14,no meaningful change
add shops_per_distributor,random forest,0.613494026734045,0.614630159015999,0.0011361322819540077,0.0008816369904474219,0.005,15,no meaningful change
add flood_unprotected,logistic regression,0.6097414842624762,0.6100777565553165,0.0003362722928402384,0.0001240455691103084,0.005,18,no meaningful change
add flood_unprotected,random forest,0.613494026734045,0.6134141147321427,-7.991200190236026e-05,0.0009501736365630668,0.005,11,no meaningful change
final set vs transformation step's 29,logistic regression,0.6114321152781244,0.6097414842624762,-0.0016906310156480763,0.000488267143653418,0.005,6,no meaningful change
final set vs transformation step's 29,random forest,0.6147655294627331,0.613494026734045,-0.0012715027286880653,0.0009579684443203909,0.005,9,no meaningful change
