feature,importance_mean,importance_std
storage_issue_reported_l3m,0.04956969447869908,0.005088685408907456
wh_est_year,0.009981225397754668,0.0034635803004915856
certificate_grade,0.0025413884011654233,0.0018926811661997235
num_refill_req_l3m,0.001646165854985082,0.0038251996407896874
wh_owner_type_Rented,0.0015876562421363039,0.0013950340357800526
is_unrated_warehouse,0.00150965303697288,0.0011671669816668542
distributor_num,1.2396104286838128e-05,0.0017274169380984022
capacity_size,0.0,0.0
Competitor_in_mkt,0.0,0.0
WH_regional_zone_Zone_4,0.0,0.0
WH_regional_zone_Zone_3,0.0,0.0
WH_regional_zone_Zone_2,0.0,0.0
WH_regional_zone_Zone_1,0.0,0.0
zone_West,0.0,0.0
zone_South,0.0,0.0
zone_East,0.0,0.0
Location_type_Urban,0.0,0.0
WH_regional_zone_Zone_5,0.0,0.0
wh_est_year_missing,0.0,0.0
flood_impacted,0.0,0.0
flood_proof,0.0,0.0
temp_reg_mach,0.0,0.0
electric_supply,0.0,0.0
dist_from_hub,-0.0006496047119337822,0.0022114312051796318
govt_check_l3m,-0.0013758273673617593,0.0018424706200739144
workers_num,-0.0014199756510350325,0.0016720350473746187
transport_issue_l1y,-0.00167128130466353,0.0019798520026364976
retail_shop_num,-0.002411120980536208,0.0023882255809589427
