Ware_house_ID,split,Location_type,zone,WH_regional_zone,product_wg_ton,storage_issue_reported_l3m,wh_breakdown_l3m,num_refill_req_l3m,govt_check_l3m,transport_issue_l1y,wh_est_year,workers_num,dist_from_hub,Competitor_in_mkt,retail_shop_num,distributor_num,electric_supply,temp_reg_mach,flood_proof,flood_impacted,is_unrated_warehouse,wh_est_year_missing,certificate_grade,capacity_size,Location_type_Urban,wh_owner_type_Rented,zone_East,zone_South,zone_West,WH_regional_zone_Zone_1,WH_regional_zone_Zone_2,WH_regional_zone_Zone_3,WH_regional_zone_Zone_4,WH_regional_zone_Zone_5
WH_100000,train,Urban,West,Zone 6,17115,13,5,3,15,1,2009,29,91,2,4651,24,1,0,1,0,0,1,4,1,1,1,0,0,1,0,0,0,0,0
WH_100001,train,Rural,North,Zone 5,5074,4,3,0,17,0,2009,31,210,4,6217,47,1,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,1
WH_100002,train,Rural,South,Zone 2,23137,17,6,1,22,0,2009,37,161,4,4306,64,0,0,0,0,0,1,4,2,0,0,0,1,0,0,1,0,0,0
WH_100003,train,Rural,North,Zone 3,22115,17,3,7,27,4,2009,21,103,2,6000,50,0,1,0,0,0,1,5,2,0,1,0,0,0,0,0,1,0,0
WH_100004,train,Rural,North,Zone 5,24071,18,6,3,24,1,2009,25,112,2,4740,42,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1
WH_100005,train,Rural,West,Zone 1,32134,23,3,8,3,0,2009,35,152,2,5053,37,1,1,0,0,0,0,5,1,0,1,0,0,1,1,0,0,0,0
WH_100006,train,Rural,West,Zone 6,30142,24,3,8,6,0,2010,27,77,4,4449,38,1,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0
WH_100007,train,Rural,North,Zone 5,24093,18,6,1,24,0,2009,23,241,4,7183,45,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,1
WH_100008,train,Rural,South,Zone 6,18082,13,5,8,2,1,2013,22,124,4,5381,42,1,1,0,0,0,0,5,1,0,1,0,1,0,0,0,0,0,0
WH_100009,train,Rural,South,Zone 6,7130,6,6,4,2,3,2009,43,78,3,3869,35,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
WH_100010,train,Rural,North,Zone 6,21125,17,4,7,6,1,1999,37,150,3,4623,31,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
WH_100011,train,Rural,North,Zone 6,14115,11,2,7,28,0,2017,16,225,5,4627,40,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0
WH_100012,train,Urban,North,Zone 2,5124,4,1,4,1,0,2022,28,95,3,5012,48,0,0,0,0,0,0,3,2,1,1,0,0,0,0,1,0,0,0
WH_100013,train,Rural,South,Zone 4,30063,22,5,6,11,1,2008,36,242,2,6858,26,1,1,0,0,0,0,4,2,0,0,0,1,0,0,0,0,1,0
WH_100014,train,Rural,West,Zone 6,7055,6,3,8,9,1,2009,37,129,4,5022,68,1,0,0,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0
WH_100015,train,Rural,North,Zone 2,5094,4,3,1,12,1,2009,19,190,3,5062,50,1,0,0,0,0,1,3,2,0,0,0,0,0,0,1,0,0,0
WH_100016,train,Rural,West,Zone 4,12127,9,5,0,11,0,2009,28,231,2,5569,16,1,0,0,1,0,1,3,2,0,0,0,0,1,0,0,0,1,0
