feature,importance
storage_issue_reported_l3m,93.83276670469827
certificate_grade,4.313409877323934
transport_issue_l1y,0.40910113205366716
temp_reg_mach,0.3943207196725207
wh_est_year,0.3853459231303522
wh_est_year_missing,0.21724610519028897
wh_breakdown_l3m,0.16501780166590815
num_refill_req_l3m,0.07995995224826848
govt_check_l3m,0.03666348575053434
retail_shop_num,0.03464815128180949
workers_num,0.031137662932960216
distributor_num,0.0292300252491313
dist_from_hub,0.016337958714159932
Competitor_in_mkt,0.012968622883978109
flood_impacted,0.008467623118998084
is_unrated_warehouse,0.005494704342108694
WH_regional_zone_Zone_2,0.0053115130021988395
capacity_size,0.004466306794867923
zone_South,0.0036379399126123505
WH_regional_zone_Zone_3,0.0033089882672363386
zone_East,0.003178901724415543
zone_West,0.0026042886087216045
wh_owner_type_Rented,0.0015482147240117462
WH_regional_zone_Zone_1,0.0008549104552620339
WH_regional_zone_Zone_5,0.0008425436064594824
flood_proof,0.000772686189319185
electric_supply,0.0007370231803229725
WH_regional_zone_Zone_4,0.0004941031986941324
Location_type_Urban,0.00012613007897168272
