candidate_set,model,r2_mean,mae_mean,rmse_mean,delta_r2_vs_base,delta_mae_vs_base
operating_problem_total,Random forest,0.9892312120575415,910.7176968596026,1205.3818210277782,0.015372974683230511,-459.17588890439185
warehouse_age,Random forest,0.9758019920657661,1316.6743479999084,1806.614311187445,0.0019437546914551351,-53.219237764086074
infrastructure_score,Random forest,0.974774640650011,1345.6963782959715,1844.47292315499,0.0009164032756999729,-24.197207468022953
shops_per_distributor,Random forest,0.9746135847697562,1349.9719017757548,1850.5539384736428,0.0007553473954452494,-19.921683988239693
staff_per_distributor,Random forest,0.9745794553300261,1355.9428080134066,1851.4184863289308,0.0007212179557151144,-13.950777750587804
base,Random forest,0.973858237374311,1369.8935857639945,1877.6948958034263,0.0,0.0
staff_per_distributor,Ridge,0.9845649033625717,1111.2142820165695,1443.0317319817786,4.486173132978166e-07,-0.02054747262059209
operating_problem_total,Ridge,0.984564455103377,1111.2560819531623,1443.0525359523112,3.581185348267013e-10,0.02125246397213232
base,Ridge,0.9845644547452584,1111.2348294891901,1443.0527124572918,0.0,0.0
warehouse_age,Ridge,0.9845644546697091,1111.235163328711,1443.0527140432318,-7.554934455811235e-11,0.0003338395208629663
infrastructure_score,Ridge,0.9845644546641488,1111.2349386165888,1443.0527158588598,-8.110967453234252e-11,0.00010912739867308119
shops_per_distributor,Ridge,0.9845640549097983,1111.269710715762,1443.0728039405737,-3.998354601852938e-07,0.03488122657176973
