number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,system_attrs_tpe:relative_params:0,state
14,0.994489965748838,2026-09-18 17:13:09.208314,2026-09-18 17:13:11.608926,0 days 00:00:02.400612,6,400,1.797561065881625,0.04050877561592262,"{""depth"": 6, ""iterations"": 400, ""l2_leaf_reg"": 1.797561065881625, ""learning_rate"": 0.04050877561592262}",COMPLETE
4,0.9944710972425913,2026-09-18 17:12:54.562265,2026-09-18 17:12:56.089271,0 days 00:00:01.527006,6,250,1.9553708662745248,0.06012261562962467,,COMPLETE
11,0.9944648637639346,2026-09-18 17:13:05.104311,2026-09-18 17:13:06.445514,0 days 00:00:01.341203,5,300,1.0069260765354906,0.08359739772420077,"{""depth"": 5, ""iterations"": 300, ""l2_leaf_reg"": 1.0069260765354906, ""learning_rate"": 0.08359739772420077}",COMPLETE
12,0.9944533669018417,2026-09-18 17:13:06.445536,2026-09-18 17:13:07.964844,0 days 00:00:01.519308,6,250,1.1409572866574027,0.05649301684881936,"{""depth"": 6, ""iterations"": 250, ""l2_leaf_reg"": 1.1409572866574027, ""learning_rate"": 0.05649301684881936}",COMPLETE
7,0.9944414102784341,2026-09-18 17:13:00.078083,2026-09-18 17:13:01.294705,0 days 00:00:01.216622,4,350,1.4808945119975185,0.07975848251366931,,COMPLETE
0,0.994432107853493,2026-09-18 17:12:47.114228,2026-09-18 17:12:50.081446,0 days 00:00:02.967218,7,300,3.968793330444372,0.09744578609310868,,COMPLETE
13,0.9944285555876082,2026-09-18 17:13:07.964866,2026-09-18 17:13:09.208289,0 days 00:00:01.243423,5,250,1.0979621742320875,0.13955562160132545,"{""depth"": 5, ""iterations"": 250, ""l2_leaf_reg"": 1.0979621742320875, ""learning_rate"": 0.13955562160132545}",COMPLETE
6,0.9944276689601914,2026-09-18 17:12:57.313196,2026-09-18 17:13:00.078057,0 days 00:00:02.764861,7,300,3.2676417657817622,0.041370163673017685,,COMPLETE
9,0.9943924203734129,2026-09-18 17:13:03.093970,2026-09-18 17:13:03.982336,0 days 00:00:00.888366,4,250,2.7551959649510764,0.09023595442579366,,COMPLETE
3,0.9943761413243897,2026-09-18 17:12:53.152805,2026-09-18 17:12:54.562242,0 days 00:00:01.409437,4,400,1.5254729458052607,0.040198648566549054,,COMPLETE
5,0.9943573788303588,2026-09-18 17:12:56.089293,2026-09-18 17:12:57.313173,0 days 00:00:01.223880,4,350,2.324672848950434,0.048008882934877484,,COMPLETE
8,0.9943498892940396,2026-09-18 17:13:01.294731,2026-09-18 17:13:03.093947,0 days 00:00:01.799216,7,200,6.432759992849893,0.1419283262069553,,COMPLETE
2,0.9943343655955326,2026-09-18 17:12:50.971704,2026-09-18 17:12:53.152782,0 days 00:00:02.181078,6,350,9.330606024425668,0.031010530712092203,,COMPLETE
10,0.9942624152703512,2026-09-18 17:13:03.982362,2026-09-18 17:13:05.104286,0 days 00:00:01.121924,5,250,3.8306325878330525,0.0395176734381964,"{""depth"": 5, ""iterations"": 250, ""l2_leaf_reg"": 3.8306325878330525, ""learning_rate"": 0.0395176734381964}",COMPLETE
1,0.9935321711971501,2026-09-18 17:12:50.081478,2026-09-18 17:12:50.971677,0 days 00:00:00.890199,4,200,7.348118405270449,0.032939724109789965,,COMPLETE
