feature,importance_mean,importance_std
storage_issue_reported_l3m,1.9809869793775419,0.009052934014563958
certificate_grade,0.015783999531186012,0.0002803495606515159
wh_est_year,0.001917274580692885,0.00012906146826376403
transport_issue_l1y,0.0016347528254725186,9.041759822528989e-05
temp_reg_mach,0.0016101709399208187,5.0146245797887046e-05
wh_est_year_missing,0.0006953610953020384,4.256682338033931e-05
num_refill_req_l3m,0.00038641579256706307,2.4069895730489123e-05
wh_breakdown_l3m,0.0002244890276406064,2.05425286023994e-05
zone_West,0.00011464627531900806,1.9284344498223673e-05
zone_South,0.0001130044514214168,1.996333497744818e-05
workers_num,2.9698744307471436e-05,4.478279725995409e-06
distributor_num,1.566959785783695e-05,9.182361768054555e-06
retail_shop_num,7.733090239470109e-06,4.175432269176706e-06
WH_regional_zone_Zone_3,7.268758201806058e-06,5.126189599660331e-06
govt_check_l3m,5.748009021266931e-06,5.8332939036493695e-06
Competitor_in_mkt,3.7308201154440114e-06,4.627153004024593e-06
capacity_size,3.640725399867151e-06,1.4536957957892994e-06
wh_owner_type_Rented,2.1224178297307717e-06,1.5027325205646138e-06
WH_regional_zone_Zone_2,1.1669725514806828e-06,6.375567996307897e-07
flood_proof,1.0008743549949628e-06,1.7426387713417744e-07
flood_impacted,9.743803546902186e-07,7.318962594475387e-06
zone_East,7.10290160554905e-07,2.287076925352747e-06
WH_regional_zone_Zone_5,4.280115314392319e-07,6.816626839288777e-07
WH_regional_zone_Zone_4,2.4998490151251217e-07,4.386979585269323e-07
Location_type_Urban,1.7984973665896575e-07,1.378681934209852e-07
electric_supply,-2.4526646913436423e-07,5.333999393823103e-07
WH_regional_zone_Zone_1,-5.881638732496697e-07,2.935178577563398e-07
dist_from_hub,-2.3155077293779415e-06,2.84046666502031e-06
is_unrated_warehouse,-7.743033170992674e-06,1.0708845869174084e-06
