Ware_house_ID,zone,WH_regional_zone,product_wg_ton,recommended_product_wg_ton,difference_from_recorded_ton,split
WH_100000,West,Zone 6,17115,16674.88999957653,-440.1100004234686,train
WH_100001,North,Zone 5,5074,5452.279884077783,378.2798840777832,train
WH_100002,South,Zone 2,23137,22744.843518741323,-392.15648125867665,train
WH_100003,North,Zone 3,22115,22571.72226808006,456.7222680800587,train
WH_100004,North,Zone 5,24071,23131.994992677886,-939.0050073221137,train
WH_100005,West,Zone 1,32134,31471.928904776232,-662.0710952237678,train
WH_100006,West,Zone 6,30142,29426.544069082374,-715.4559309176257,train
WH_100007,North,Zone 5,24093,23447.1472830882,-645.8527169117988,train
WH_100008,South,Zone 6,18082,17451.205443580366,-630.7945564196343,train
WH_100009,South,Zone 6,7130,7584.812765621447,454.8127656214474,train
WH_100010,North,Zone 6,21125,20471.302821104975,-653.697178895025,train
WH_100011,North,Zone 6,14115,13621.722139208136,-493.27786079186444,train
WH_100012,North,Zone 2,5124,5101.385092649452,-22.614907350547583,train
WH_100013,South,Zone 4,30063,29240.537533695126,-822.4624663048744,train
WH_100014,West,Zone 6,7055,6901.620117409786,-153.37988259021404,train
WH_100015,North,Zone 2,5094,4950.260179097917,-143.739820902083,train
WH_100016,West,Zone 4,12127,10727.98741988964,-1399.0125801103604,train
WH_100017,West,Zone 2,17134,16934.56873150095,-199.43126849905093,test
WH_100018,North,Zone 3,38082,38898.98159337639,816.9815933763894,train
WH_100019,South,Zone 1,27100,26235.487132832164,-864.5128671678358,train
WH_100020,South,Zone 2,24062,23455.295018577013,-606.7049814229867,train
WH_100021,South,Zone 3,17117,17488.19215247736,371.19215247736065,train
WH_100022,North,Zone 6,40150,38898.393506055894,-1251.6064939441058,train
WH_100023,South,Zone 3,32098,31966.950082562285,-131.0499174377146,train
WH_100024,West,Zone 5,15125,15929.166414316554,804.1664143165544,train
WH_100025,North,Zone 3,26066,26323.793508813396,257.79350881339633,train
WH_100026,West,Zone 6,10077,10275.462369095332,198.46236909533218,train
WH_100027,South,Zone 6,14150,13952.512102857952,-197.4878971420476,train
WH_100028,North,Zone 6,3123,3559.4761505609495,436.47615056094946,train
WH_100029,West,Zone 6,8056,8375.52540094438,319.5254009443797,test
WH_100030,West,Zone 4,15082,15040.107169072384,-41.89283092761616,test
WH_100031,North,Zone 6,21064,22139.958090579097,1075.9580905790972,train
WH_100032,South,Zone 2,45061,45331.358039460545,270.3580394605451,train
WH_100033,South,Zone 4,21116,20338.619475193675,-777.3805248063254,train
WH_100034,South,Zone 6,22055,21367.442394822454,-687.5576051775461,test
WH_100035,North,Zone 5,4141,3541.0669031716716,-599.9330968283284,test
WH_100036,West,Zone 5,42116,41867.865375024245,-248.1346249757553,train
WH_100037,East,Zone 3,19100,20436.13791698429,1336.1379169842912,train
WH_100038,West,Zone 6,6117,7271.469600041453,1154.4696000414533,train
WH_100039,South,Zone 3,47071,47666.40516007876,595.405160078757,train
WH_100040,West,Zone 6,32117,31109.940241422533,-1007.0597585774667,train
WH_100041,South,Zone 1,31087,32011.984969345624,924.9849693456235,train
WH_100042,North,Zone 6,20149,21204.86430643942,1055.86430643942,train
WH_100043,North,Zone 6,31139,32090.230377342705,951.2303773427047,train
WH_100044,North,Zone 6,27137,26321.842426974006,-815.1575730259938,test
WH_100045,West,Zone 5,31113,30673.033267521045,-439.96673247895524,train
WH_100046,South,Zone 4,20092,19306.446622725773,-785.5533772742274,test
WH_100047,North,Zone 6,49083,48893.06296873418,-189.93703126582113,train
WH_100048,West,Zone 6,10145,10844.006414874917,699.006414874917,train
WH_100049,South,Zone 5,44116,42819.97516097773,-1296.0248390222696,train
WH_100050,West,Zone 3,8127,8537.151535636132,410.1515356361324,train
WH_100051,West,Zone 6,27128,26250.749095551706,-877.250904448294,train
