Ware_house_ID,Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,wh_est_year,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton,is_unrated_warehouse,wh_est_year_missing
WH_100000,Urban,Small,West,Zone 6,3,1,2,4651,Rented,24,0,1,1,91,29,2009,13,0,A,5,15,17115,0,1
WH_100001,Rural,Large,North,Zone 5,0,0,4,6217,Company Owned,47,0,0,1,210,31,2009,4,0,A,3,17,5074,0,1
WH_100002,Rural,Mid,South,Zone 2,1,0,4,4306,Company Owned,64,0,0,0,161,37,2009,17,0,A,6,22,23137,0,1
WH_100003,Rural,Mid,North,Zone 3,7,4,2,6000,Rented,50,0,0,0,103,21,2009,17,1,A+,3,27,22115,0,1
WH_100004,Rural,Large,North,Zone 5,3,1,2,4740,Company Owned,42,1,0,1,112,25,2009,18,0,C,6,24,24071,0,0
WH_100005,Rural,Small,West,Zone 1,8,0,2,5053,Rented,37,0,0,1,152,35,2009,23,1,A+,3,3,32134,0,0
WH_100006,Rural,Large,West,Zone 6,8,0,4,4449,Company Owned,38,0,0,1,77,27,2010,24,0,B,3,6,30142,0,0
WH_100007,Rural,Large,North,Zone 5,1,0,4,7183,Rented,45,0,0,0,241,23,2009,18,0,C,6,24,24093,0,1
WH_100008,Rural,Small,South,Zone 6,8,1,4,5381,Rented,42,0,0,1,124,22,2013,13,1,A+,5,2,18082,0,0
WH_100009,Rural,Small,South,Zone 6,4,3,3,3869,Company Owned,35,0,0,0,78,43,2009,6,0,C,6,2,7130,0,1
WH_100010,Rural,Large,North,Zone 6,7,1,3,4623,Company Owned,31,0,0,1,150,37,1999,17,0,B+,4,6,21125,0,0
WH_100011,Rural,Large,North,Zone 6,7,0,5,4627,Rented,40,0,0,0,225,16,2017,11,0,B,2,28,14115,0,0
WH_100012,Urban,Mid,North,Zone 2,4,0,3,5012,Rented,48,0,0,0,95,28,2022,4,0,B+,1,1,5124,0,0
WH_100013,Rural,Mid,South,Zone 4,6,1,2,6858,Company Owned,26,0,0,1,242,36,2008,22,1,A,5,11,30063,0,0
WH_100014,Rural,Small,West,Zone 6,8,1,4,5022,Rented,68,0,0,1,129,37,2009,6,0,B,3,9,7055,0,1
WH_100015,Rural,Mid,North,Zone 2,1,1,3,5062,Company Owned,50,0,0,1,190,19,2009,4,0,B+,3,12,5094,0,1
WH_100016,Rural,Mid,West,Zone 4,0,0,2,5569,Company Owned,16,1,0,1,231,28,2009,9,0,B+,5,11,12127,0,1
WH_100017,Rural,Mid,West,Zone 2,0,1,2,5539,Company Owned,28,0,0,1,261,22,2009,13,0,A,4,12,17134,0,1
WH_100018,Rural,Mid,North,Zone 3,4,1,4,4598,Rented,58,0,0,1,159,22,2001,29,1,A+,5,27,38082,0,0
WH_100019,Rural,Small,South,Zone 1,1,1,2,5679,Rented,19,0,0,1,189,24,2009,22,0,B,2,21,27100,0,1
WH_100020,Rural,Mid,South,Zone 2,8,0,2,5678,Company Owned,31,0,0,1,65,41,2016,19,0,B+,4,1,24062,0,0
WH_100021,Rural,Mid,South,Zone 3,6,0,2,3980,Company Owned,49,0,0,1,156,31,2010,14,1,B+,6,19,17117,0,0
WH_100022,Rural,Small,North,Zone 6,5,0,4,3588,Company Owned,69,0,0,0,199,24,1997,28,1,C,6,8,40150,0,0
WH_100023,Rural,Mid,South,Zone 3,8,1,2,4388,Company Owned,32,0,0,1,80,37,2003,25,0,C,5,19,32098,0,0
WH_100024,Urban,Large,West,Zone 5,1,0,4,5670,Rented,25,0,0,1,140,31,2009,12,0,C,2,14,15125,0,1
WH_100025,Rural,Mid,North,Zone 3,7,1,3,5496,Company Owned,46,0,0,0,67,31,2006,22,0,B,3,27,26066,0,0
WH_100026,Rural,Small,West,Zone 6,5,3,4,4063,Company Owned,40,0,0,1,229,21,2009,8,0,C,6,9,10077,0,1
WH_100027,Rural,Small,South,Zone 6,8,3,2,5790,Rented,31,0,0,0,98,36,2009,11,0,C,4,9,14150,0,1
WH_100028,Rural,Small,North,Zone 6,3,1,1,7692,Company Owned,62,1,0,0,154,20,2009,0,0,Unrated,0,8,3123,1,1
WH_100029,Rural,Large,West,Zone 6,8,0,4,5119,Company Owned,48,0,0,0,261,24,2019,6,1,A,1,6,8056,0,0
WH_100030,Rural,Mid,West,Zone 4,5,0,4,4552,Rented,67,0,0,0,230,17,2017,12,0,B+,5,11,15082,0,0
WH_100031,Rural,Large,North,Zone 6,4,0,2,3540,Rented,21,0,0,0,164,19,2009,18,1,B+,6,23,21064,0,0
WH_100032,Rural,Mid,South,Zone 2,4,0,3,3559,Company Owned,51,0,0,1,197,29,2003,34,0,A,4,12,45061,0,0
WH_100033,Rural,Mid,South,Zone 4,7,0,2,6695,Rented,51,0,0,1,80,24,2015,14,1,A+,3,26,21116,0,0
WH_100034,Rural,Small,South,Zone 6,4,0,2,5329,Company Owned,57,0,0,0,262,46,2012,16,0,C,1,2,22055,0,0
WH_100035,Rural,Large,North,Zone 5,0,1,4,5353,Rented,28,0,0,1,80,30,2009,0,0,Unrated,0,24,4141,1,1
WH_100036,Rural,Large,West,Zone 5,5,0,3,4031,Company Owned,59,0,0,1,125,24,1998,34,0,B,5,14,42116,0,0
WH_100037,Rural,Mid,East,Zone 3,0,1,8,6804,Rented,59,0,0,0,77,29,2009,17,0,B,4,27,19100,0,1
WH_100038,Rural,Large,West,Zone 6,5,0,4,6915,Company Owned,16,0,0,1,94,33,2021,0,0,Unrated,0,23,6117,1,0
WH_100039,Rural,Mid,South,Zone 3,7,0,3,4243,Company Owned,23,0,0,1,153,43,2006,38,0,B,2,19,47071,0,0
WH_100040,Rural,Large,West,Zone 6,3,0,4,6729,Rented,21,0,0,1,80,32,2004,23,1,C,5,23,32117,0,0
WH_100041,Rural,Small,South,Zone 1,1,0,1,4487,Company Owned,46,0,1,1,216,30,2009,25,0,C,5,21,31087,0,1
WH_100042,Rural,Large,North,Zone 6,5,2,2,4714,Rented,17,0,0,0,247,26,2009,16,1,A+,3,28,20149,0,1
WH_100043,Rural,Large,North,Zone 6,5,0,2,3285,Company Owned,56,0,0,0,123,28,2000,25,0,C,4,28,31139,0,0
WH_100044,Rural,Large,North,Zone 6,7,1,2,4922,Rented,22,0,0,0,167,20,2005,22,0,B,4,23,27137,0,0
WH_100045,Urban,Large,West,Zone 5,7,0,3,5667,Company Owned,63,0,0,1,220,38,2015,21,1,A+,3,14,31113,0,0
WH_100046,Rural,Mid,South,Zone 4,1,1,3,5551,Rented,30,0,0,0,134,30,2009,15,0,A,2,26,20092,0,1
WH_100047,Rural,Large,North,Zone 6,3,0,3,4200,Rented,57,0,0,1,216,39,1998,36,0,A,6,28,49083,0,0
WH_100048,Rural,Large,West,Zone 6,1,0,2,5601,Rented,53,0,0,0,64,40,2009,9,0,B,1,29,10145,0,1
WH_100049,Urban,Large,South,Zone 5,3,0,3,3700,Company Owned,66,0,0,1,196,26,2000,31,1,A+,5,10,44116,0,0
WH_100050,Rural,Mid,West,Zone 3,4,0,4,4020,Rented,36,0,0,0,240,23,2016,6,1,A+,5,19,8127,0,0
WH_100051,Urban,Large,West,Zone 6,4,0,4,4472,Company Owned,50,0,0,1,85,23,2009,20,1,C,3,6,27128,0,1
WH_100052,Rural,Mid,North,Zone 4,3,0,5,4248,Company Owned,29,0,0,1,242,31,2009,16,0,B+,5,26,20127,0,0
WH_100053,Rural,Mid,North,Zone 2,6,1,2,3943,Rented,38,0,0,0,190,19,2008,18,0,A,4,1,23149,0,0
WH_100054,Rural,Mid,South,Zone 3,4,0,2,4897,Rented,44,0,0,0,253,27,2011,18,1,A+,2,27,23134,0,0
WH_100055,Rural,Small,North,Zone 6,3,0,4,4524,Company Owned,55,0,0,1,66,24,2015,14,0,B+,3,13,18150,0,0
WH_100056,Rural,Large,West,Zone 6,6,0,4,5559,Rented,49,0,0,0,229,20,2014,9,1,B+,4,23,10080,0,0
WH_100057,Rural,Large,North,Zone 6,2,4,2,5308,Rented,69,0,0,1,77,39,2009,17,0,B,3,23,19095,0,1
WH_100058,Rural,Small,South,Zone 1,1,1,2,4004,Company Owned,38,1,0,1,168,27,2009,25,1,C,4,21,32057,0,1
WH_100059,Urban,Large,North,Zone 5,8,0,2,7311,Company Owned,62,0,0,1,219,34,2010,21,0,A,6,17,28127,0,0
WH_100060,Urban,Small,North,Zone 1,4,0,2,4657,Rented,39,0,0,0,110,17,2000,23,0,B+,5,30,27107,0,0
WH_100061,Rural,Small,North,Zone 6,2,0,4,3810,Rented,54,0,0,1,69,30,2009,31,1,A+,2,13,44129,0,1
WH_100062,Rural,Large,South,Zone 6,7,0,4,4445,Rented,47,1,1,1,239,29,2012,10,1,A+,5,23,13061,0,0
WH_100063,Rural,Mid,South,Zone 2,3,1,2,5193,Rented,30,0,0,0,237,26,2011,20,1,A+,6,32,25145,0,0
WH_100064,Rural,Large,North,Zone 6,1,1,2,4770,Company Owned,37,0,0,1,113,16,2009,22,0,B,2,7,26060,0,1
WH_100065,Rural,Large,West,Zone 5,5,0,4,5772,Company Owned,28,0,0,1,181,32,1999,25,0,B+,3,25,28143,0,0
WH_100066,Rural,Mid,South,Zone 4,4,0,4,6074,Rented,49,0,0,0,255,22,2000,32,0,C,4,26,44116,0,0
WH_100067,Rural,Large,North,Zone 5,1,0,3,6720,Rented,30,0,1,1,90,25,2009,22,0,B+,4,17,27069,0,1
WH_100068,Rural,Mid,South,Zone 4,7,0,2,4135,Rented,68,0,0,0,151,19,2003,27,0,B+,6,26,34108,0,0
WH_100069,Rural,Mid,South,Zone 2,6,1,3,3880,Company Owned,23,0,1,1,112,35,2009,9,1,B+,3,32,11134,0,1
WH_100070,Rural,Mid,South,Zone 2,2,1,2,4821,Rented,68,0,0,1,196,44,2009,17,1,C,3,32,22121,0,1
WH_100071,Rural,Mid,North,Zone 2,3,5,2,4197,Company Owned,29,0,0,1,90,38,2009,16,1,A+,4,22,21076,0,1
WH_100072,Rural,Large,West,Zone 6,6,0,2,3820,Rented,50,0,0,1,58,29,2014,14,1,B+,1,23,18149,0,0
WH_100073,Urban,Large,North,Zone 6,2,3,3,3973,Company Owned,36,0,0,1,140,22,2009,22,0,C,5,6,27151,0,1
WH_100074,Rural,Mid,North,Zone 3,2,0,2,4244,Company Owned,38,0,0,1,255,29,2009,13,1,B+,3,19,17143,0,1
WH_100075,Rural,Large,North,Zone 5,6,0,3,2802,Company Owned,40,0,0,1,256,28,2010,16,1,A,6,24,21130,0,0
WH_100076,Rural,Large,North,Zone 6,0,1,1,8913,Rented,55,0,0,1,95,38,2009,14,0,C,6,29,18118,0,1
WH_100077,Urban,Mid,North,Zone 2,3,0,2,5309,Company Owned,16,0,0,1,84,37,2009,26,0,B,2,12,30115,0,1
WH_100078,Rural,Small,West,Zone 6,0,0,4,5957,Company Owned,33,0,0,0,83,22,2009,8,0,C,1,15,10060,0,1
WH_100079,Rural,Mid,West,Zone 4,8,2,4,3919,Rented,49,0,0,0,173,18,2009,6,1,A+,5,26,8102,0,1
WH_100080,Rural,Large,West,Zone 6,5,0,4,7117,Company Owned,23,0,0,0,212,25,2008,18,0,B,3,23,20090,0,0
WH_100081,Rural,Small,West,Zone 6,2,1,2,4339,Rented,63,0,0,1,158,11,2009,14,0,B+,5,15,17140,0,1
WH_100082,Rural,Large,North,Zone 5,4,2,4,4407,Rented,19,0,0,1,103,21,2009,18,0,A,3,24,22100,0,1
WH_100083,Urban,Large,North,Zone 6,1,0,4,4760,Company Owned,48,0,0,1,55,34,2009,26,0,A,4,28,35130,0,1
WH_100084,Rural,Large,North,Zone 5,7,0,2,5526,Company Owned,27,1,1,1,257,32,2013,13,0,C,6,17,17097,0,0
WH_100085,Urban,Mid,South,Zone 2,8,0,2,5245,Rented,18,0,1,0,70,31,2011,18,1,B+,1,32,24113,0,0
WH_100086,Rural,Small,East,Zone 1,4,0,4,4564,Company Owned,56,0,1,1,160,37,1996,28,1,A+,5,31,39115,0,0
WH_100087,Rural,Large,South,Zone 5,7,0,2,6633,Company Owned,27,0,0,0,181,33,2012,14,1,B,3,14,18123,0,0
WH_100088,Rural,Large,North,Zone 6,1,1,2,6917,Company Owned,35,0,0,1,220,28,2009,4,0,C,2,28,5103,0,1
WH_100089,Rural,Mid,North,Zone 4,7,0,3,4156,Company Owned,39,0,0,1,96,43,2019,6,0,B,5,26,7118,0,0
WH_100090,Rural,Mid,West,Zone 4,1,1,4,4980,Company Owned,36,1,0,1,108,26,2009,14,0,C,6,26,18117,0,1
WH_100091,Rural,Large,North,Zone 5,8,1,3,4821,Company Owned,59,0,0,1,271,28,2011,23,1,B+,2,14,28094,0,0
WH_100092,Rural,Large,West,Zone 6,0,2,5,4456,Rented,38,0,1,1,124,25,2009,24,0,A,3,6,31059,0,1
WH_100093,Rural,Mid,South,Zone 3,5,2,2,4824,Rented,45,0,0,0,263,17,2009,16,0,B+,4,19,18080,0,1
WH_100094,Rural,Large,North,Zone 6,5,2,4,3520,Rented,45,0,0,0,239,22,2009,14,0,B+,1,29,16060,0,1
WH_100095,Rural,Mid,North,Zone 3,2,0,4,4739,Rented,17,0,0,0,234,17,2009,22,0,B,3,19,27150,0,1
WH_100096,Rural,Mid,West,Zone 4,7,0,4,5299,Company Owned,35,0,0,0,109,23,1997,34,0,C,2,11,46100,0,0
WH_100097,Rural,Large,North,Zone 6,0,1,2,5239,Rented,65,0,0,1,198,25,2009,14,0,A+,6,28,19131,0,1
WH_100098,Rural,Mid,South,Zone 4,1,0,2,6086,Rented,38,0,0,0,182,23,2009,6,0,B+,5,20,7105,0,1
WH_100099,Rural,Mid,North,Zone 4,3,0,3,4477,Company Owned,34,0,0,0,173,27,2021,0,0,Unrated,0,26,14130,1,0
WH_100100,Rural,Mid,North,Zone 2,7,0,4,5118,Company Owned,39,0,0,1,114,39,1997,24,1,B,3,1,31133,0,0
WH_100101,Rural,Mid,South,Zone 2,1,0,2,5104,Rented,28,0,0,1,166,29,2009,8,0,B+,1,32,10140,0,1
WH_100102,Rural,Mid,North,Zone 4,2,0,5,5218,Rented,24,0,0,1,151,32,2009,18,0,A+,4,26,22122,0,1
WH_100103,Rural,Mid,West,Zone 4,6,0,4,5117,Company Owned,51,0,0,1,96,32,2016,14,0,B+,3,26,18139,0,0
WH_100104,Rural,Mid,West,Zone 4,1,1,5,5392,Company Owned,58,0,1,1,158,27,2009,23,0,C,5,11,29073,0,1
WH_100105,Rural,Mid,West,Zone 2,5,0,4,4221,Company Owned,54,1,0,1,141,24,2015,12,1,A+,5,12,17058,0,0
WH_100106,Rural,Mid,South,Zone 4,5,0,3,6299,Company Owned,21,0,0,1,261,29,2014,16,0,B,5,26,20057,0,0
WH_100107,Rural,Large,West,Zone 5,5,0,2,6541,Company Owned,52,0,0,1,165,20,2020,10,1,C,3,14,14103,0,0
WH_100108,Rural,Mid,West,Zone 4,7,0,4,5879,Rented,67,0,1,1,204,25,2017,6,0,C,6,11,8070,0,0
WH_100109,Rural,Large,South,Zone 6,7,1,3,3430,Company Owned,34,0,0,0,262,27,2009,11,0,C,4,29,14105,0,1
WH_100110,Rural,Large,North,Zone 5,6,1,2,5285,Company Owned,62,1,0,1,141,44,2009,7,0,A,2,25,9114,0,1
WH_100111,Rural,Mid,West,Zone 4,5,0,3,5153,Company Owned,64,0,0,1,60,29,2009,4,0,B,3,11,5105,0,1
WH_100112,Rural,Large,West,Zone 6,7,3,5,2748,Rented,56,0,0,0,130,22,2009,12,0,B+,3,23,14114,0,1
WH_100113,Rural,Mid,South,Zone 4,2,1,3,6590,Company Owned,27,0,0,1,254,12,2009,18,0,B+,5,26,22062,0,1
WH_100114,Rural,Mid,South,Zone 2,7,0,2,3795,Rented,28,0,0,1,227,31,2010,18,1,A+,5,32,24111,0,0
WH_100115,Rural,Small,South,Zone 6,4,0,2,5278,Company Owned,51,0,0,1,247,27,2008,20,0,A,5,9,28121,0,0
WH_100116,Rural,Mid,West,Zone 2,3,0,4,4418,Rented,64,0,0,1,78,22,1997,37,0,A,4,1,50124,0,0
WH_100117,Rural,Mid,South,Zone 2,5,0,3,4204,Rented,67,0,0,0,248,18,2023,0,0,Unrated,0,32,6106,1,0
WH_100118,Rural,Small,South,Zone 6,2,1,2,4292,Company Owned,49,0,0,1,252,31,2009,28,0,C,5,2,36111,0,1
WH_100119,Rural,Large,South,Zone 5,2,0,3,6780,Company Owned,40,0,0,1,261,23,2009,7,0,B+,2,25,8097,0,1
WH_100120,Rural,Small,West,Zone 6,7,3,3,3046,Company Owned,69,0,0,1,177,33,2009,14,0,B+,4,15,16150,0,1
WH_100121,Rural,Large,South,Zone 6,5,0,2,4119,Rented,31,0,0,1,105,27,2010,15,0,B,4,29,19088,0,0
WH_100122,Rural,Small,West,Zone 1,4,0,4,5340,Company Owned,49,0,0,0,69,29,2000,26,1,C,2,3,34129,0,0
WH_100123,Rural,Large,North,Zone 5,4,2,3,6298,Company Owned,51,0,0,0,79,33,2009,4,0,B,2,14,5103,0,1
WH_100124,Rural,Large,South,Zone 5,3,1,3,5243,Company Owned,40,0,0,0,232,29,2009,22,0,B,6,14,26132,0,1
WH_100125,Rural,Mid,West,Zone 4,2,1,2,6320,Company Owned,38,0,0,1,66,33,2009,30,0,B+,2,11,36131,0,1
WH_100126,Rural,Mid,South,Zone 3,8,0,2,4172,Company Owned,68,0,0,1,171,27,2009,18,0,B,6,27,20065,0,0
WH_100127,Rural,Small,East,Zone 1,8,0,8,3948,Rented,54,1,0,1,161,25,2011,15,0,B,5,31,19124,0,0
WH_100128,Rural,Mid,South,Zone 2,6,0,2,4078,Company Owned,49,0,0,1,110,24,2009,21,0,B+,4,12,24128,0,1
WH_100129,Rural,Mid,North,Zone 2,4,0,2,4430,Company Owned,33,0,0,0,92,32,2014,20,0,C,2,12,27085,0,0
WH_100130,Rural,Small,North,Zone 6,8,1,3,5041,Company Owned,31,0,0,1,262,26,1998,26,0,C,4,13,33074,0,0
WH_100131,Rural,Mid,South,Zone 2,7,0,3,3825,Company Owned,54,0,0,1,223,40,2022,5,0,B,1,32,6079,0,0
WH_100132,Rural,Small,North,Zone 1,1,1,2,4554,Rented,31,0,1,1,144,39,2009,24,0,A,4,3,30106,0,1
WH_100133,Rural,Mid,South,Zone 3,8,0,3,4334,Company Owned,53,0,0,1,86,31,2010,15,1,A+,4,27,21064,0,0
WH_100134,Rural,Small,North,Zone 1,6,1,4,5013,Company Owned,32,1,0,1,225,36,2009,11,1,A+,6,21,14062,0,1
WH_100135,Rural,Mid,South,Zone 4,8,1,3,4670,Company Owned,55,0,1,1,128,31,2006,24,0,A,4,26,31107,0,0
WH_100136,Rural,Large,North,Zone 5,4,3,2,5862,Rented,26,0,0,0,196,18,2009,16,0,A,4,5,21093,0,1
WH_100137,Rural,Large,West,Zone 6,7,0,4,4393,Company Owned,59,1,0,1,145,32,2014,9,0,A,4,23,12055,0,0
WH_100138,Rural,Mid,West,Zone 3,1,1,4,5150,Company Owned,48,0,0,1,99,25,2009,6,0,C,1,19,8146,0,1
WH_100139,Rural,Small,West,Zone 6,7,1,7,6062,Company Owned,32,0,0,1,115,39,2013,18,1,A+,1,15,24069,0,0
WH_100140,Rural,Large,North,Zone 6,4,2,5,4396,Rented,58,0,0,1,187,37,2002,15,1,A+,4,28,19128,0,0
WH_100141,Rural,Small,North,Zone 1,1,0,6,4279,Company Owned,55,0,0,1,58,31,2009,4,0,C,2,3,6090,0,1
WH_100142,Rural,Large,West,Zone 6,1,0,2,3775,Company Owned,17,1,0,1,114,42,2009,20,0,A+,1,23,28133,0,1
WH_100143,Rural,Small,South,Zone 1,3,0,2,4480,Company Owned,50,0,0,1,200,24,2015,17,0,B,5,16,21136,0,0
WH_100144,Rural,Large,South,Zone 5,2,0,3,4937,Rented,40,0,0,0,260,18,2009,10,0,B,6,14,12118,0,1
WH_100145,Rural,Mid,South,Zone 4,1,0,2,4763,Company Owned,16,1,0,1,215,27,2009,39,0,B+,4,26,48139,0,1
WH_100146,Rural,Small,North,Zone 1,7,3,4,4838,Rented,26,0,0,0,97,18,2006,21,1,A+,5,3,28151,0,0
WH_100147,Rural,Mid,North,Zone 4,3,0,3,5861,Company Owned,55,1,0,1,106,35,2000,24,0,A,4,26,30126,0,0
WH_100148,Rural,Large,North,Zone 5,7,1,3,5420,Company Owned,58,0,0,0,134,25,2009,22,0,B+,3,17,27147,0,0
WH_100149,Rural,Mid,South,Zone 2,6,0,2,4114,Rented,53,0,0,0,133,24,2011,18,1,B,4,32,23135,0,0
WH_100150,Rural,Mid,West,Zone 3,0,0,5,4028,Company Owned,58,0,0,0,218,45,2009,23,0,B,5,19,26084,0,1
WH_100151,Rural,Mid,South,Zone 4,0,0,2,4024,Company Owned,66,0,0,0,119,32,2009,24,0,A+,2,26,30105,0,1
WH_100152,Rural,Mid,West,Zone 3,1,2,3,4790,Rented,47,0,0,0,206,22,2009,21,0,C,3,27,26123,0,1
WH_100153,Rural,Mid,West,Zone 3,6,0,4,4340,Rented,18,0,0,0,80,19,2002,26,0,B+,4,19,30145,0,0
WH_100154,Rural,Mid,North,Zone 3,5,5,2,3826,Company Owned,50,0,0,1,239,26,2009,24,0,B,5,27,27112,0,1
WH_100155,Rural,Small,South,Zone 6,1,4,3,4818,Company Owned,55,0,0,1,94,31,2009,4,0,C,3,9,6097,0,1
WH_100156,Rural,Large,North,Zone 5,3,0,4,4137,Company Owned,50,0,0,1,256,26,2007,23,0,B+,2,17,27058,0,0
WH_100157,Rural,Small,West,Zone 1,1,0,3,4884,Rented,31,0,1,1,206,32,2009,12,0,B+,5,30,15110,0,1
WH_100158,Rural,Large,North,Zone 6,4,0,3,4497,Rented,52,0,0,1,181,32,2012,20,0,A,2,28,27119,0,0
WH_100159,Rural,Small,West,Zone 1,1,0,4,4751,Rented,43,0,0,1,233,28,2009,19,0,B+,3,30,23137,0,1
WH_100160,Rural,Large,North,Zone 6,1,0,4,4107,Rented,68,1,0,1,234,40,2009,26,0,A,5,28,34138,0,1
WH_100161,Rural,Mid,West,Zone 4,4,1,4,5443,Rented,45,0,0,1,234,20,2009,15,0,A,6,11,19103,0,1
WH_100162,Rural,Large,West,Zone 5,5,0,3,4948,Company Owned,45,0,0,1,160,23,2009,20,0,B+,4,25,23084,0,1
WH_100163,Rural,Mid,South,Zone 2,4,0,2,6385,Company Owned,46,0,1,0,164,28,2018,13,1,C,2,22,18151,0,0
WH_100164,Rural,Large,West,Zone 6,4,0,5,4583,Rented,19,0,0,1,235,30,1997,25,0,B+,4,6,29116,0,0
WH_100165,Rural,Large,North,Zone 6,2,0,2,5017,Company Owned,37,0,0,0,248,20,2009,24,0,B,2,6,28064,0,1
WH_100166,Rural,Mid,West,Zone 3,5,0,4,4760,Company Owned,53,0,0,1,91,29,2000,32,0,B,6,27,40088,0,0
WH_100167,Rural,Mid,North,Zone 2,3,0,4,3972,Company Owned,30,0,0,1,152,47,2017,10,1,A+,1,12,15090,0,0
WH_100168,Rural,Large,North,Zone 6,5,1,3,5981,Rented,18,0,0,1,240,29,2009,24,1,A+,2,23,32055,0,0
WH_100169,Rural,Mid,North,Zone 4,3,0,2,3521,Rented,65,0,0,0,81,25,2006,33,0,C,2,26,43066,0,0
WH_100170,Rural,Small,South,Zone 6,4,3,3,8736,Rented,63,0,1,1,187,30,2017,6,1,B,5,15,7120,0,0
WH_100171,Rural,Large,South,Zone 6,8,0,2,5390,Company Owned,70,0,0,0,264,22,2016,14,1,A+,6,29,21059,0,0
WH_100172,Rural,Mid,North,Zone 3,8,0,3,4671,Rented,43,0,0,1,142,35,2017,6,0,A,2,27,8100,0,0
WH_100173,Rural,Large,North,Zone 6,7,1,3,8137,Rented,33,0,0,1,101,23,2015,13,0,B+,1,28,16116,0,0
WH_100174,Rural,Mid,West,Zone 4,3,1,2,6614,Company Owned,60,0,0,1,186,31,2009,15,0,A,6,26,19114,0,1
